tag_names,tag_counts,tags,,,,
html,37089,html,,,,
javascript,41814,javascript,,,,
typescript,15805,typescript,,,,
css,25788,css,,,,
c++,16807,cpp,,,, 
php,14849,php,,,,
swift,3693,swift,,,,
logos,109,logos,,,,
dockerfile,4080,docker,,,,
shell,17719,shell,,,,
go,10653,go,,,,
objective-c,4828,objective-c,,,,
java,21876,java,,,,
asp,286,asp,,,,
c,14859,c,,,,
assembly,1481,assembly,,,,
vim_script,2773,linux,,,,
lua,2474,lua,,,,
ruby,12685,ruby,,,,
perl,2333,perl,,,,
solidity,708,solidity,,,,
dart,3155,dart,,,,
python,36189,python,,,,
scss,2505,javascript,,,,
rust,3783,rust,,,,
kotlin,3105,kotlin,,,,
vue,4938,vue,,,,
jupyter_notebook,15211,jupyter_notebook,,,,
svelte,376,svelte,,,,
c#,8260,c#,,,,
hack,296,hack,,,,
coffeescript,3689,coffeescript,,,,
actionscript,477,actionscript,,,,
elm,405,elm,,,,
plsql,221,plsql,,,,
ocaml,561,ocaml,,,,
handlebars,218,handlebars,,,,
scala,2425,scala,,,,
tsql,574,tsql,,,,
makefile,3214,makefile,,,,
tex,4512,tex,,,,
nunjucks,146,nunjucks,,,,
less,134,less,,,,
viml,2147,linux,,,,
blade,258,blade,,,,
visual_basic,393,visual_basic,,,,
xslt,462,xslt,,,,
cmake,614,cmake,,,,
elixir,1325,elixir,,,,
powershell,1216,powershell,,,,
yasnippet,15,yasnippet,,,,
ejs,600,ejs,,,,
hcl,1184,hcl,,,,
asp.net,40,.net,,,,
haskell,1478,haskell,,,,
purescript,68,purescript,,,,
sass,87,sass,,,,
g-code,37,g-code,,,,
common_lisp,370,common_lisp,,,,
opa,2,opa,,,,
emacs_lisp,1603,emacs_lisp,,,,
erlang,725,erlang,,,,
racket,248,racket,,,,
batchfile,737,batchfile,,,,
apacheconf,362,apacheconf,,,,
plpgsql,471,plpgsql,,,,
pug,103,pug,,,,
smarty,615,smarty,,,,
visual_basic_.net,83,.net,,,,
r,4268,r,,,,
brainfuck,58,brainfuck,,,,
nginx,276,nginx,,,,
glsl,162,glsl,,,,
julia,632,julia,,,,
roff,347,roff,,,,
liquid,118,liquid,,,,
vba,89,vba,,,,
clojure,1279,clojure,,,,
arduino,841,arduino,,,,
matlab,2145,matlab,,,,
markdown,91,markdown,,,,
objective-c++,221,objective-c++,,,,
groovy,905,objective-j,,,,
reason,45,reason,,,,
jinja,210,python,,,,
eagle,142,eagle,,,,
openedge_abl,167,openedge_abl,,,,
twig,44,twig,,,,
gdscript,169,gdscript,,,,
coldfusion,47,coldfusion,,,,
max,48,max,,,,
crystal,233,crystal,,,,
processing,447,processing,,,,
astro,88,astro,,,,
zig,70,zig,,,,
scheme,410,scheme,,,,
sqlpl,112,sqlpl,,,,
io,38,io,,,,
stylus,87,stylus,,,,
applescript,147,applescript,,,,
idl,55,idl,,,,
qml,176,qml,,,,
tcl,171,tcl,,,,
gcc_machine_description,126,gcc_machine_description,,,,
openscad,164,openscad,,,,
nix,282,nix,,,,
rescript,23,rescript,,,,
postscript,247,postscript,,,,
webassembly,108,webassembly,,,,
xml,71,xml,,,,
clips,16,clips,,,,
smali,75,smali,,,,
shaderlab,146,shaderlab,,,,
